Country,Mobility
South Africa,0.71
Peru,0.67
China,0.6
Brazil,0.58
India,0.55
Chile,0.52
Italy,0.5
United Kingdom,0.5
Argentina,0.49
United States,0.47
Pakistan,0.46
Switzerland,0.46
Singapore,0.44
France,0.41
Spain,0.4
Ukraine,0.37
Japan,0.34
Germany,0.32
New Zealand,0.29
Sweden,0.27
Australia,0.26
Canada,0.19
Finland,0.18
Norway,0.17
Denmark,0.15
